,epoch,accuracy,false_negatives,false_positives,loss,true_negatives,true_positives
0,0,0.3240000009536743,1014.0,1012.0,42.76754379272461,3488.0,486.0
1,1,0.3373333215713501,999.0,975.0,6.595280647277832,3525.0,501.0
2,2,0.3959999978542328,919.0,887.0,5.225395679473877,3613.0,581.0
3,3,0.4040000140666961,897.0,875.0,6.350427150726318,3625.0,603.0
4,4,0.4993333220481872,756.0,730.0,4.79354190826416,3770.0,744.0
5,5,0.4906666576862335,778.0,748.0,3.550041675567627,3752.0,722.0
6,6,0.5453333258628845,700.0,635.0,2.491004228591919,3865.0,800.0
7,7,0.4486666619777679,835.0,814.0,4.604960918426514,3686.0,665.0
8,8,0.5133333206176758,748.0,701.0,3.4953744411468506,3799.0,752.0
9,9,0.5493333339691162,701.0,635.0,2.3204281330108643,3865.0,799.0
10,10,0.5059999823570251,769.0,701.0,3.643670320510864,3799.0,731.0
11,11,0.5473333597183228,712.0,628.0,2.330152034759521,3872.0,788.0
12,12,0.5486666560173035,709.0,615.0,1.839421033859253,3885.0,791.0
13,13,0.5360000133514404,722.0,648.0,2.458471298217773,3852.0,778.0
14,14,0.550000011920929,705.0,619.0,1.6539653539657593,3881.0,795.0
15,15,0.5360000133514404,732.0,635.0,2.1434600353240967,3865.0,768.0
16,16,0.5373333096504211,725.0,627.0,1.5813157558441162,3873.0,775.0
17,17,0.5566666722297668,699.0,616.0,1.836876630783081,3884.0,801.0
18,18,0.5333333611488342,728.0,650.0,2.5403547286987305,3850.0,772.0
19,19,0.5366666913032532,722.0,634.0,2.144829750061035,3866.0,778.0
20,20,0.5513333082199097,701.0,629.0,2.068483829498291,3871.0,799.0
21,21,0.5806666612625122,674.0,564.0,1.2994228601455688,3936.0,826.0
22,22,0.6033333539962769,650.0,497.0,1.1269363164901731,4003.0,850.0
23,23,0.5946666598320007,667.0,512.0,1.096071720123291,3988.0,833.0
24,24,0.5373333096504211,720.0,646.0,2.192645072937012,3854.0,780.0
25,25,0.5979999899864197,646.0,528.0,1.340717911720276,3972.0,854.0
26,26,0.5713333487510681,684.0,575.0,1.3547275066375732,3925.0,816.0
27,27,0.5886666774749756,661.0,530.0,1.3342061042785645,3970.0,839.0
28,28,0.5860000252723694,659.0,544.0,1.411161184310913,3956.0,841.0
29,29,0.6240000128746033,618.0,480.0,1.0266402959823608,4020.0,882.0
30,30,0.5979999899864197,660.0,503.0,1.116961121559143,3997.0,840.0
31,31,0.6320000290870667,608.0,456.0,0.984010636806488,4044.0,892.0
32,32,0.5979999899864197,648.0,513.0,1.072742581367493,3987.0,852.0
33,33,0.5766666531562805,672.0,554.0,1.2602145671844482,3946.0,828.0
34,34,0.6413333415985107,592.0,450.0,0.9173686504364014,4050.0,908.0
35,35,0.6513333320617676,588.0,420.0,0.8859052062034607,4080.0,912.0
36,36,0.6053333282470703,646.0,528.0,1.1111325025558472,3972.0,854.0
37,37,0.6013333201408386,638.0,532.0,1.2371644973754885,3968.0,862.0
38,38,0.6166666746139526,623.0,497.0,0.974809467792511,4003.0,877.0
39,39,0.612666666507721,612.0,523.0,1.089590072631836,3977.0,888.0
40,40,0.6413333415985107,598.0,446.0,0.9398667216300964,4054.0,902.0
41,41,0.6486666798591614,579.0,452.0,0.8433343768119812,4048.0,921.0
42,42,0.6953333616256714,509.0,390.0,0.724246084690094,4110.0,991.0
43,43,0.6259999871253967,597.0,508.0,0.9843029975891112,3992.0,903.0
44,44,0.6833333373069763,536.0,416.0,0.7667067646980286,4084.0,964.0
45,45,0.6420000195503235,562.0,483.0,0.9856396317481996,4017.0,938.0
46,46,0.6853333115577698,520.0,409.0,0.7076491117477417,4091.0,980.0
47,47,0.6646666526794434,548.0,429.0,0.8207629323005676,4071.0,952.0
48,48,0.7306666374206543,448.0,360.0,0.6208404302597046,4140.0,1052.0
49,49,0.6693333387374878,528.0,437.0,0.715968906879425,4063.0,972.0
50,50,0.7099999785423279,479.0,387.0,0.6666243076324463,4113.0,1021.0
51,51,0.7020000219345093,482.0,394.0,0.6837497353553772,4106.0,1018.0
52,52,0.7279999852180481,454.0,360.0,0.613298773765564,4140.0,1046.0
53,53,0.722000002861023,458.0,362.0,0.6107881665229797,4138.0,1042.0
54,54,0.7366666793823242,440.0,351.0,0.5834609270095825,4149.0,1060.0
55,55,0.722000002861023,465.0,368.0,0.605969250202179,4132.0,1035.0
56,56,0.7106666564941406,496.0,383.0,0.6370143294334412,4117.0,1004.0
57,57,0.734666645526886,448.0,362.0,0.5816141963005066,4138.0,1052.0
58,58,0.7059999704360962,493.0,396.0,0.6840159296989441,4104.0,1007.0
59,59,0.7493333220481873,432.0,337.0,0.5494977831840515,4163.0,1068.0
60,60,0.734000027179718,443.0,353.0,0.5857078433036804,4147.0,1057.0
61,61,0.7333333492279053,447.0,349.0,0.5917717218399048,4151.0,1053.0
62,62,0.7239999771118164,458.0,365.0,0.6342747807502747,4135.0,1042.0
63,63,0.7213333249092102,459.0,378.0,0.6118398904800415,4122.0,1041.0
64,64,0.7266666889190674,450.0,371.0,0.5928773880004883,4129.0,1050.0
65,65,0.734666645526886,448.0,348.0,0.584468424320221,4152.0,1052.0
66,66,0.6940000057220459,503.0,412.0,0.6729624271392822,4088.0,997.0
67,67,0.734666645526886,432.0,354.0,0.6030188798904419,4146.0,1068.0
68,68,0.6633333563804626,548.0,446.0,0.7652313709259033,4054.0,952.0
69,69,0.7599999904632568,396.0,321.0,0.5288638472557068,4179.0,1104.0
70,70,0.7146666646003723,456.0,378.0,0.6126543879508972,4122.0,1044.0
71,71,0.765333354473114,386.0,324.0,0.5506829619407654,4176.0,1114.0
72,72,0.7506666779518127,418.0,338.0,0.5474423766136169,4162.0,1082.0
73,73,0.7566666603088379,418.0,336.0,0.5573608875274658,4164.0,1082.0
74,74,0.781333327293396,353.0,300.0,0.4930256903171539,4200.0,1147.0
75,75,0.7666666507720947,383.0,324.0,0.5165088772773743,4176.0,1117.0
76,76,0.7519999742507935,417.0,333.0,0.5659694671630859,4167.0,1083.0
77,77,0.7379999756813049,423.0,364.0,0.556344211101532,4136.0,1077.0
78,78,0.7739999890327454,366.0,308.0,0.5095759034156799,4192.0,1134.0
79,79,0.7513333559036255,406.0,342.0,0.5357916951179504,4158.0,1094.0
80,80,0.7833333611488342,363.0,295.0,0.5069647431373596,4205.0,1137.0
81,81,0.7699999809265137,380.0,311.0,0.5207282304763794,4189.0,1120.0
82,82,0.7333333492279053,434.0,379.0,0.5979959964752197,4121.0,1066.0
83,83,0.7486666440963745,403.0,347.0,0.5495656132698059,4153.0,1097.0
84,84,0.7673333287239075,392.0,305.0,0.5081618428230286,4195.0,1108.0
85,85,0.7720000147819519,366.0,316.0,0.5035760998725891,4184.0,1134.0
86,86,0.762666642665863,380.0,331.0,0.5225121974945068,4169.0,1120.0
87,87,0.7820000052452087,347.0,309.0,0.5073608756065369,4191.0,1153.0
88,88,0.762666642665863,376.0,339.0,0.534773588180542,4161.0,1124.0
89,89,0.777999997138977,363.0,316.0,0.5024181604385376,4184.0,1137.0
90,90,0.7826666831970215,355.0,302.0,0.482388824224472,4198.0,1145.0
91,91,0.7753333449363708,364.0,316.0,0.494422972202301,4184.0,1136.0
92,92,0.7760000228881836,361.0,317.0,0.5100917220115662,4183.0,1139.0
93,93,0.7906666398048401,336.0,299.0,0.4978715479373932,4201.0,1164.0
94,94,0.7933333516120911,331.0,290.0,0.4719357788562774,4210.0,1169.0
95,95,0.7906666398048401,340.0,294.0,0.4934889674186706,4206.0,1160.0
96,96,0.7746666669845581,375.0,316.0,0.513543963432312,4184.0,1125.0
97,97,0.7559999823570251,392.0,343.0,0.5214444398880005,4157.0,1108.0
98,98,0.8053333163261414,313.0,275.0,0.4536177217960357,4225.0,1187.0
99,99,0.7486666440963745,397.0,363.0,0.5951212048530579,4137.0,1103.0
